timestamp,vazao_L_min,pulsos,dc_temp_%,dc_cooler_%
2026-03-15 19:25:45,8.67,13,0,100
2026-03-15 19:25:45,9.33,14,0,100
2026-03-15 19:25:46,9.33,14,0,100
2026-03-15 19:25:46,9.33,14,0,100
2026-03-15 19:25:46,9.33,14,0,100
2026-03-15 19:25:46,8.67,13,0,100
2026-03-15 19:25:46,9.33,14,0,100
2026-03-15 19:25:47,9.33,14,0,100
2026-03-15 19:25:47,8.67,13,0,100
2026-03-15 19:25:47,9.33,14,0,100
2026-03-15 19:25:47,9.33,14,0,100
2026-03-15 19:25:47,8.67,13,0,100
2026-03-15 19:25:48,9.33,14,0,100
2026-03-15 19:25:48,9.33,14,0,100
2026-03-15 19:25:48,8.67,13,0,100
2026-03-15 19:25:48,9.33,14,0,100
2026-03-15 19:25:48,9.33,14,0,100
2026-03-15 19:25:49,9.33,14,0,100
2026-03-15 19:25:49,8.67,13,0,100
2026-03-15 19:25:49,9.33,14,0,100
2026-03-15 19:25:49,9.33,14,0,100
2026-03-15 19:25:49,9.33,14,0,100
2026-03-15 19:25:50,9.33,14,0,100
2026-03-15 19:25:50,9.33,14,0,100
2026-03-15 19:25:50,9.33,14,0,100
2026-03-15 19:25:50,9.33,14,0,100
2026-03-15 19:25:50,9.33,14,0,100
2026-03-15 19:25:51,9.33,14,0,100
2026-03-15 19:25:51,9.33,14,0,100
2026-03-15 19:25:51,8.67,13,0,100
2026-03-15 19:25:51,9.33,14,0,100
2026-03-15 19:25:51,9.33,14,0,100
2026-03-15 19:25:52,9.33,14,0,100
2026-03-15 19:25:52,9.33,14,0,100
2026-03-15 19:25:52,8.67,13,0,100
2026-03-15 19:25:52,9.33,14,0,100
2026-03-15 19:25:52,9.33,14,0,100
2026-03-15 19:25:53,9.33,14,0,100
2026-03-15 19:25:53,9.33,14,0,100
2026-03-15 19:25:53,9.33,14,0,100
2026-03-15 19:25:53,9.33,14,0,100
2026-03-15 19:25:53,9.33,14,0,100
2026-03-15 19:25:54,9.33,14,0,100
2026-03-15 19:25:54,9.33,14,0,100
2026-03-15 19:25:54,9.33,14,0,100
2026-03-15 19:25:54,9.33,14,0,100
2026-03-15 19:25:54,8.67,13,0,100
2026-03-15 19:25:55,10.0,15,0,100
2026-03-15 19:25:55,9.33,14,0,100
2026-03-15 19:25:55,8.67,13,0,100
2026-03-15 19:25:55,9.33,14,0,100
2026-03-15 19:25:55,9.33,14,0,100
2026-03-15 19:25:56,9.33,14,0,100
2026-03-15 19:25:56,8.67,13,0,100
2026-03-15 19:25:56,9.33,14,0,100
2026-03-15 19:25:56,8.67,13,0,100
2026-03-15 19:25:56,9.33,14,0,100
2026-03-15 19:25:57,9.33,14,0,100
2026-03-15 19:25:57,8.67,13,0,100
2026-03-15 19:25:57,9.33,14,0,100
2026-03-15 19:25:57,9.33,14,0,100
2026-03-15 19:25:57,8.67,13,0,100
2026-03-15 19:25:58,9.33,14,0,100
2026-03-15 19:25:58,8.67,13,0,100
2026-03-15 19:25:58,9.33,14,0,100
2026-03-15 19:25:58,8.67,13,0,100
2026-03-15 19:25:58,9.33,14,0,100
2026-03-15 19:25:59,8.67,13,0,100
2026-03-15 19:25:59,9.33,14,0,100
2026-03-15 19:25:59,9.33,14,0,100
2026-03-15 19:25:59,8.67,13,0,100
2026-03-15 19:25:59,9.33,14,0,100
2026-03-15 19:26:00,8.67,13,0,100
2026-03-15 19:26:00,8.67,13,0,100
2026-03-15 19:26:00,9.33,14,0,100
2026-03-15 19:26:00,8.67,13,0,100
2026-03-15 19:26:00,9.33,14,0,100
2026-03-15 19:26:01,8.67,13,0,100
2026-03-15 19:26:01,9.33,14,0,100
2026-03-15 19:26:01,9.33,14,0,100
2026-03-15 19:26:01,8.67,13,0,100
2026-03-15 19:26:01,9.33,14,0,100
2026-03-15 19:26:02,9.33,14,0,100
2026-03-15 19:26:02,9.33,14,0,100
2026-03-15 19:26:02,9.33,14,0,100
2026-03-15 19:26:02,9.33,14,0,100
2026-03-15 19:26:02,9.33,14,0,100
2026-03-15 19:26:03,9.33,14,0,100
2026-03-15 19:26:03,8.67,13,0,100
2026-03-15 19:26:03,9.33,14,0,100
2026-03-15 19:26:03,9.33,14,0,100
2026-03-15 19:26:03,10.0,15,0,100
2026-03-15 19:26:04,9.33,14,0,100
2026-03-15 19:26:04,9.33,14,0,100
2026-03-15 19:26:04,9.33,14,0,100
2026-03-15 19:26:04,9.33,14,0,100
2026-03-15 19:26:04,9.33,14,0,100
2026-03-15 19:26:05,10.0,15,0,100
2026-03-15 19:26:05,9.33,14,0,100
2026-03-15 19:26:05,9.33,14,0,100
2026-03-15 19:26:05,9.33,14,0,100
2026-03-15 19:26:05,9.33,14,0,100
2026-03-15 19:26:06,10.0,15,0,100
2026-03-15 19:26:06,9.33,14,0,100
2026-03-15 19:26:06,9.33,14,0,100
2026-03-15 19:26:06,9.33,14,0,100
2026-03-15 19:26:06,10.0,15,0,100
2026-03-15 19:26:07,9.33,14,0,100
2026-03-15 19:26:07,9.33,14,0,100
2026-03-15 19:26:07,9.33,14,0,100
2026-03-15 19:26:07,9.33,14,0,100
2026-03-15 19:26:07,10.0,15,0,100
2026-03-15 19:26:08,8.67,13,0,100
2026-03-15 19:26:08,9.33,14,0,100
2026-03-15 19:26:08,9.33,14,0,100
2026-03-15 19:26:08,9.33,14,0,100
2026-03-15 19:26:08,9.33,14,0,100
2026-03-15 19:26:09,9.33,14,0,100
2026-03-15 19:26:09,9.33,14,0,100
2026-03-15 19:26:09,9.33,14,0,100
2026-03-15 19:26:09,9.33,14,0,100
2026-03-15 19:26:09,9.33,14,0,100
2026-03-15 19:26:10,9.33,14,0,100
2026-03-15 19:26:10,9.33,14,0,100
2026-03-15 19:26:10,9.33,14,0,100
2026-03-15 19:26:10,9.33,14,0,100
2026-03-15 19:26:10,9.33,14,0,100
2026-03-15 19:26:11,9.33,14,0,100
2026-03-15 19:26:11,9.33,14,0,100
2026-03-15 19:26:11,9.33,14,0,100
2026-03-15 19:26:11,9.33,14,0,100
