timestamp,temperatura_C,vazao_L_min,cooler_%,resistencia
2026-03-04 13:48:28,39.75,0.0,14,29,ON
2026-03-04 13:48:30,39.67,0.0,14,31,ON
2026-03-04 13:48:32,39.78,0.0,14,29,ON
2026-03-04 13:48:34,39.67,0.0,14,31,ON
2026-03-04 13:48:36,39.75,0.0,14,29,ON
2026-03-04 13:48:38,39.67,0.0,14,31,ON
2026-03-04 13:48:40,39.73,0.0,14,29,ON
2026-03-04 13:48:42,39.78,0.0,14,30,ON
2026-03-04 13:48:44,39.73,0.0,14,30,ON
2026-03-04 13:48:46,39.51,0.0,14,32,ON
2026-03-04 13:48:48,39.73,0.0,15,29,ON
2026-03-04 13:48:50,39.7,0.0,15,31,ON
2026-03-04 13:48:52,39.83,0.0,15,29,ON
2026-03-04 13:48:54,39.83,0.0,15,30,ON
2026-03-04 13:48:56,39.67,0.0,15,31,ON
2026-03-04 13:48:58,39.73,0.0,15,30,ON
2026-03-04 13:49:00,39.73,0.0,15,30,ON
2026-03-04 13:49:02,39.67,0.0,15,30,ON
2026-03-04 13:49:04,39.73,0.0,15,30,ON
2026-03-04 13:49:06,39.67,0.0,15,31,ON
2026-03-04 13:49:08,39.73,0.0,15,30,ON
2026-03-04 13:49:10,39.81,0.0,15,30,ON
2026-03-04 13:49:12,39.7,0.0,15,31,ON
2026-03-04 13:49:14,39.73,0.0,15,30,ON
2026-03-04 13:49:16,39.78,0.0,15,30,ON
2026-03-04 13:49:18,39.7,0.0,15,31,ON
2026-03-04 13:49:20,39.7,0.0,15,30,ON
2026-03-04 13:49:22,39.73,0.0,15,30,ON
2026-03-04 13:49:24,39.7,0.0,15,30,ON
2026-03-04 13:49:26,39.75,0.0,15,30,ON
2026-03-04 13:49:28,39.7,0.0,15,31,ON
2026-03-04 13:49:30,39.62,0.0,15,31,ON
2026-03-04 13:49:32,39.83,0.0,15,29,ON
2026-03-04 13:49:34,39.73,0.0,15,31,ON
2026-03-04 13:49:36,39.78,0.0,15,29,ON
2026-03-04 13:49:38,39.7,0.0,15,31,ON
2026-03-04 13:49:40,39.67,0.0,16,30,ON
2026-03-04 13:49:42,39.59,0.0,16,31,ON
2026-03-04 13:49:44,39.83,0.0,16,28,ON
2026-03-04 13:49:46,39.73,0.0,16,31,ON
2026-03-04 13:49:48,39.83,0.0,16,29,ON
2026-03-04 13:49:50,39.75,0.0,16,31,ON
2026-03-04 13:49:52,39.78,0.0,16,29,ON
2026-03-04 13:49:54,39.7,0.0,16,31,ON
2026-03-04 13:49:56,39.73,0.0,16,30,ON
2026-03-04 13:49:58,39.73,0.0,16,31,ON
2026-03-04 13:50:00,39.81,0.0,16,30,ON
2026-03-04 13:50:02,39.78,0.0,16,30,ON
2026-03-04 13:50:04,39.7,0.0,16,31,ON
2026-03-04 13:50:06,39.67,0.0,16,31,ON
2026-03-04 13:50:08,39.78,0.0,16,30,ON
2026-03-04 13:50:10,39.7,0.0,16,31,ON
2026-03-04 13:50:12,39.7,0.0,16,30,ON
2026-03-04 13:50:14,39.86,0.0,16,29,ON
2026-03-04 13:50:16,39.62,0.0,16,32,ON
2026-03-04 13:50:18,39.7,0.0,16,29,ON
2026-03-04 13:50:20,39.78,0.0,16,30,ON
2026-03-04 13:50:22,39.78,0.0,16,30,ON
2026-03-04 13:50:24,39.7,0.0,16,31,ON
2026-03-04 13:50:26,39.73,0.0,16,30,ON
2026-03-04 13:50:28,39.59,0.0,16,32,ON
2026-03-04 13:50:30,39.86,0.0,16,28,ON
2026-03-04 13:50:32,39.73,0.0,16,32,ON
2026-03-04 13:50:34,39.7,0.0,17,30,ON
2026-03-04 13:50:36,39.75,0.0,17,30,ON
2026-03-04 13:50:38,39.78,0.0,17,30,ON
2026-03-04 13:50:40,39.7,0.0,17,31,ON
2026-03-04 13:50:42,39.81,0.0,17,29,ON
2026-03-04 13:50:44,39.7,0.0,17,31,ON
2026-03-04 13:50:46,39.75,0.0,17,30,ON
2026-03-04 13:50:48,39.49,0.0,17,33,ON
2026-03-04 13:50:50,39.67,0.0,17,29,ON
2026-03-04 13:50:52,39.75,0.0,17,31,ON
2026-03-04 13:50:54,39.62,0.0,17,31,ON
2026-03-04 13:50:56,39.78,0.0,17,29,ON
2026-03-04 13:50:58,39.62,0.0,17,32,ON
2026-03-04 13:51:00,39.59,0.0,17,31,ON
2026-03-04 13:51:02,39.7,0.0,17,30,ON
2026-03-04 13:51:04,39.59,0.0,17,32,ON
2026-03-04 13:51:06,39.73,0.0,17,30,ON
2026-03-04 13:51:08,39.67,0.0,17,31,ON
2026-03-04 13:51:10,39.78,0.0,17,30,ON
2026-03-04 13:51:12,39.83,0.0,17,30,ON
2026-03-04 13:51:14,39.75,0.0,17,31,ON
2026-03-04 13:51:16,39.67,0.0,17,31,ON
2026-03-04 13:51:18,39.81,0.0,17,30,ON
2026-03-04 13:51:20,39.78,0.0,17,31,ON
2026-03-04 13:51:22,39.67,0.0,17,31,ON
2026-03-04 13:51:24,39.67,0.0,17,31,ON
2026-03-04 13:51:26,39.78,0.0,18,30,ON
2026-03-04 13:51:28,39.78,0.0,18,31,ON
2026-03-04 13:51:30,39.59,0.0,18,32,ON
2026-03-04 13:51:32,39.67,0.0,18,30,ON
2026-03-04 13:51:34,39.67,0.0,18,31,ON
2026-03-04 13:51:36,39.73,0.0,18,30,ON
2026-03-04 13:51:38,39.73,0.0,18,31,ON
2026-03-04 13:51:40,39.7,0.0,18,31,ON
2026-03-04 13:51:42,39.67,0.0,18,31,ON
2026-03-04 13:51:44,39.67,0.0,18,31,ON
2026-03-04 13:51:46,39.7,0.0,18,31,ON
2026-03-04 13:51:48,39.67,0.0,18,31,ON
2026-03-04 13:51:50,39.67,0.0,18,31,ON
2026-03-04 13:51:52,39.62,0.0,18,31,ON
2026-03-04 13:51:54,39.73,0.0,18,30,ON
2026-03-04 13:51:56,39.73,0.0,18,31,ON
2026-03-04 13:51:58,39.78,0.0,18,30,ON
2026-03-04 13:52:00,39.83,0.0,18,30,ON
2026-03-04 13:52:02,39.73,0.0,18,31,ON
2026-03-04 13:52:04,39.7,0.0,18,31,ON
2026-03-04 13:52:06,39.81,0.0,18,30,ON
2026-03-04 13:52:08,39.83,0.0,18,30,ON
2026-03-04 13:52:10,39.83,0.0,18,30,ON
2026-03-04 13:52:12,39.67,0.0,18,32,ON
2026-03-04 13:52:14,39.59,0.0,18,31,ON
2026-03-04 13:52:16,39.78,0.0,18,30,ON
2026-03-04 13:52:18,39.51,0.0,18,33,ON
2026-03-04 13:52:20,39.73,0.0,19,29,ON
2026-03-04 13:52:22,39.67,0.0,19,32,ON
2026-03-04 13:52:24,39.67,0.0,19,31,ON
2026-03-04 13:52:26,39.7,0.0,19,31,ON
2026-03-04 13:52:28,39.67,0.0,19,31,ON
2026-03-04 13:52:30,39.62,0.0,19,32,ON
2026-03-04 13:52:32,39.7,0.0,19,31,ON
2026-03-04 13:52:34,39.59,0.0,19,32,ON
2026-03-04 13:52:36,39.67,0.0,19,30,ON
2026-03-04 13:52:38,39.78,0.0,19,31,ON
2026-03-04 13:52:40,39.78,0.0,19,31,ON
2026-03-04 13:52:42,39.81,0.0,19,30,ON
2026-03-04 13:52:44,39.81,0.0,19,31,ON
2026-03-04 13:52:46,39.78,0.0,19,31,ON
2026-03-04 13:52:48,39.78,0.0,19,31,ON
2026-03-04 13:52:50,39.81,0.0,19,31,ON
2026-03-04 13:52:52,39.78,0.0,19,31,ON
2026-03-04 13:52:54,39.7,0.0,19,31,ON
2026-03-04 13:52:56,39.67,0.0,19,31,ON
2026-03-04 13:52:58,39.75,0.0,19,31,ON
2026-03-04 13:53:00,39.81,0.0,19,31,ON
2026-03-04 13:53:02,39.62,0.0,19,32,ON
2026-03-04 13:53:04,39.73,0.0,19,30,ON
2026-03-04 13:53:06,39.78,0.0,19,31,ON
2026-03-04 13:53:08,39.67,0.0,19,32,ON
2026-03-04 13:53:10,39.73,0.0,19,31,ON
2026-03-04 13:53:12,39.86,0.0,20,30,ON
2026-03-04 13:53:14,39.7,0.0,20,32,ON
2026-03-04 13:53:16,39.81,0.0,20,30,ON
2026-03-04 13:53:18,39.78,0.0,20,31,ON
2026-03-04 13:53:20,39.73,0.0,20,31,ON
2026-03-04 13:53:22,39.81,0.0,20,30,ON
2026-03-04 13:53:24,39.78,0.0,20,31,ON
2026-03-04 13:53:26,39.83,0.0,20,30,ON
2026-03-04 13:53:28,39.73,0.0,20,32,ON
2026-03-04 13:53:30,39.78,0.0,20,30,ON
2026-03-04 13:53:32,39.81,0.0,20,31,ON
2026-03-04 13:53:34,39.81,0.0,20,31,ON
2026-03-04 13:53:36,39.7,0.0,20,32,ON
2026-03-04 13:53:38,39.78,0.0,20,30,ON
2026-03-04 13:53:40,39.78,0.0,20,31,ON
2026-03-04 13:53:42,39.73,0.0,20,31,ON
2026-03-04 13:53:44,39.81,0.0,20,30,ON
2026-03-04 13:53:46,39.78,0.0,20,31,ON
2026-03-04 13:53:48,39.86,0.0,20,30,ON
2026-03-04 13:53:50,39.78,0.0,20,32,ON
2026-03-04 13:53:52,39.73,0.0,20,31,ON
2026-03-04 13:53:54,39.78,0.0,20,31,ON
