t_ms,vazao_Lmin,fase
93600,15.3333,DEGRAU
93800,17.3333,DEGRAU
94000,15.3333,DEGRAU
94200,17.3333,DEGRAU
94400,16.6667,DEGRAU
94600,16.6667,DEGRAU
94800,16.6667,DEGRAU
95000,15.3333,DEGRAU
95200,17.3333,DEGRAU
95400,15.3333,DEGRAU
95600,16.6667,DEGRAU
95800,16.0,DEGRAU
96000,14.6667,DEGRAU
96200,16.6667,DEGRAU
96400,17.3333,DEGRAU
96600,18.0,DEGRAU
96800,14.6667,DEGRAU
97000,17.3333,DEGRAU
97200,16.0,DEGRAU
97400,15.3333,DEGRAU
97600,16.6667,DEGRAU
97800,16.6667,DEGRAU
98000,16.0,DEGRAU
98200,18.0,DEGRAU
98400,15.3333,DEGRAU
98600,15.3333,DEGRAU
98800,16.0,DEGRAU
99000,15.3333,DEGRAU
99200,16.0,DEGRAU
99400,18.6667,DEGRAU
99600,16.0,DEGRAU
99800,16.6667,DEGRAU
100000,16.6667,DEGRAU
100200,14.6667,DEGRAU
100400,16.6667,DEGRAU
100600,18.6667,DEGRAU
100800,16.0,DEGRAU
101000,15.3333,DEGRAU
101200,18.0,DEGRAU
101400,15.3333,DEGRAU
101600,17.3333,DEGRAU
101800,16.6667,DEGRAU
102000,17.3333,DEGRAU
102200,19.3333,DEGRAU
102400,17.3333,DEGRAU
102600,19.3333,DEGRAU
102800,17.3333,DEGRAU
103000,16.0,DEGRAU
103200,18.6667,DEGRAU
103400,15.3333,DEGRAU
103600,15.3333,DEGRAU
103800,16.6667,DEGRAU
104000,17.3333,DEGRAU
104200,16.0,DEGRAU
104400,17.3333,DEGRAU
104600,16.0,DEGRAU
104800,14.0,DEGRAU
105000,16.6667,DEGRAU
105200,16.6667,DEGRAU
105400,18.0,DEGRAU
105600,17.3333,DEGRAU
105800,16.6667,DEGRAU
106000,16.0,DEGRAU
106200,18.6667,DEGRAU
106400,15.3333,DEGRAU
106600,16.6667,DEGRAU
106800,17.3333,DEGRAU
107000,17.3333,DEGRAU
107200,17.3333,DEGRAU
107400,16.0,DEGRAU
107600,18.6667,DEGRAU
107800,16.6667,DEGRAU
108000,16.6667,DEGRAU
108200,18.6667,DEGRAU
108400,16.6667,DEGRAU
108600,18.0,DEGRAU
108800,18.0,DEGRAU
109000,14.0,DEGRAU
109200,14.0,DEGRAU
109400,17.3333,DEGRAU
109600,17.3333,DEGRAU
109800,16.0,DEGRAU
110000,16.6667,DEGRAU
110200,19.3333,DEGRAU
110400,15.3333,DEGRAU
110600,16.0,DEGRAU
110800,15.3333,DEGRAU
111000,17.3333,DEGRAU
111200,17.3333,DEGRAU
111400,18.0,DEGRAU
111600,14.6667,DEGRAU
111800,18.0,DEGRAU
112000,16.6667,DEGRAU
112200,16.0,DEGRAU
112400,18.0,DEGRAU
112600,16.6667,DEGRAU
112800,16.0,DEGRAU
113000,18.6667,DEGRAU
113200,18.0,DEGRAU
113400,18.6667,DEGRAU
113600,17.3333,DEGRAU
113800,16.0,DEGRAU
114000,17.3333,DEGRAU
114200,16.6667,DEGRAU
114400,17.3333,DEGRAU
114600,18.0,DEGRAU
114800,14.6667,DEGRAU
115000,15.3333,DEGRAU
115200,14.6667,DEGRAU
115400,16.0,DEGRAU
115600,19.3333,DEGRAU
115800,17.3333,DEGRAU
116000,16.6667,DEGRAU
116200,14.0,DEGRAU
116400,15.3333,DEGRAU
116600,17.3333,DEGRAU
116800,17.3333,DEGRAU
117000,16.6667,DEGRAU
117200,18.0,DEGRAU
117400,15.3333,DEGRAU
117600,16.0,DEGRAU
117800,15.3333,DEGRAU
118000,15.3333,DEGRAU
118200,14.6667,DEGRAU
118400,17.3333,DEGRAU
118600,14.6667,DEGRAU
118800,16.0,DEGRAU
119000,15.3333,DEGRAU
119200,17.3333,DEGRAU
119400,17.3333,DEGRAU
119600,18.0,DEGRAU
119800,16.6667,DEGRAU
120000,16.6667,DEGRAU
120200,15.3333,DEGRAU
120400,16.6667,DEGRAU
120600,18.6667,DEGRAU
120800,18.6667,DEGRAU
121000,16.6667,DEGRAU
121200,16.6667,DEGRAU
121400,18.0,DEGRAU
121600,16.6667,DEGRAU
121800,18.0,DEGRAU
122000,16.6667,DEGRAU
122200,14.6667,DEGRAU
122400,17.3333,DEGRAU
122600,18.0,DEGRAU
122800,14.6667,DEGRAU
123000,16.0,DEGRAU
123200,16.0,DEGRAU
123400,16.0,DEGRAU
123600,15.3333,DEGRAU
123800,17.3333,DEGRAU
124000,15.3333,DEGRAU
124200,14.0,DEGRAU
124400,17.3333,DEGRAU
124600,18.0,DEGRAU
124800,15.3333,DEGRAU
125000,16.6667,DEGRAU
125200,19.3333,DEGRAU
125400,15.3333,DEGRAU
125600,14.6667,DEGRAU
