timestamp,temperatura_C,dc_temp_%,dc_cooler_%
2026-03-15 18:56:36,64.55,100,0
2026-03-15 18:56:38,64.55,100,0
2026-03-15 18:56:40,64.8,100,0
2026-03-15 18:56:42,64.85,100,0
2026-03-15 18:56:44,64.65,100,0
2026-03-15 18:56:46,64.6,100,0
2026-03-15 18:56:48,64.8,100,0
2026-03-15 18:56:50,64.65,100,0
2026-03-15 18:56:52,64.85,100,0
2026-03-15 18:56:54,64.6,100,0
2026-03-15 18:56:56,64.9,100,0
2026-03-15 18:56:58,64.99,100,0
2026-03-15 18:57:00,64.85,100,0
2026-03-15 18:57:02,65.14,100,0
2026-03-15 18:57:04,65.14,100,0
2026-03-15 18:57:06,64.99,100,0
2026-03-15 18:57:08,64.99,100,0
2026-03-15 18:57:10,64.85,100,0
2026-03-15 18:57:12,64.9,100,0
2026-03-15 18:57:14,64.85,100,0
2026-03-15 18:57:16,64.99,100,0
2026-03-15 18:57:18,64.99,100,0
2026-03-15 18:57:20,64.5,100,0
2026-03-15 18:57:22,64.5,100,0
2026-03-15 18:57:24,64.9,100,0
2026-03-15 18:57:26,64.99,100,0
2026-03-15 18:57:28,64.9,100,0
2026-03-15 18:57:30,64.85,100,0
2026-03-15 18:57:32,64.94,100,0
2026-03-15 18:57:34,64.94,100,0
2026-03-15 18:57:36,64.9,100,0
2026-03-15 18:57:38,64.8,100,0
2026-03-15 18:57:40,64.9,100,0
2026-03-15 18:57:42,64.85,100,0
2026-03-15 18:57:44,64.65,100,0
2026-03-15 18:57:46,64.5,100,0
2026-03-15 18:57:48,64.8,100,0
2026-03-15 18:57:50,64.8,100,0
2026-03-15 18:57:52,64.99,100,0
2026-03-15 18:57:54,65.14,100,0
2026-03-15 18:57:56,64.9,100,0
2026-03-15 18:57:58,64.99,100,0
2026-03-15 18:58:00,65.04,100,0
2026-03-15 18:58:02,64.75,100,0
2026-03-15 18:58:04,65.14,100,0
2026-03-15 18:58:06,64.85,100,0
2026-03-15 18:58:08,65.04,100,0
2026-03-15 18:58:10,65.14,100,0
2026-03-15 18:58:12,65.04,100,0
2026-03-15 18:58:14,65.19,100,0
2026-03-15 18:58:16,65.24,100,0
2026-03-15 18:58:18,65.09,100,0
2026-03-15 18:58:20,65.24,100,0
2026-03-15 18:58:22,65.14,100,0
2026-03-15 18:58:24,65.14,100,0
2026-03-15 18:58:26,65.14,100,0
2026-03-15 18:58:28,65.29,100,0
2026-03-15 18:58:30,65.14,100,0
2026-03-15 18:58:32,65.44,100,0
2026-03-15 18:58:34,65.49,100,0
2026-03-15 18:58:36,65.69,100,0
2026-03-15 18:58:38,65.59,100,0
2026-03-15 18:58:40,65.49,100,0
2026-03-15 18:58:42,65.44,100,0
2026-03-15 18:58:44,65.95,100,0
2026-03-15 18:58:46,65.69,100,0
2026-03-15 18:58:48,65.95,100,0
2026-03-15 18:58:50,65.95,100,0
2026-03-15 18:58:52,66.05,100,0
2026-03-15 18:58:54,65.95,100,0
2026-03-15 18:58:56,65.95,100,0
2026-03-15 18:58:58,66.05,100,0
2026-03-15 18:59:00,65.95,100,0
2026-03-15 18:59:02,65.95,100,0
2026-03-15 18:59:04,65.95,100,0
