indice,temperatura_C,vazao_L_min,cooler_%,resistencia
351,41.54,0.0,0,ON
352,41.6,0.0,0,ON
353,41.54,0.0,0,ON
354,41.65,0.0,0,ON
355,41.79,0.0,0,ON
356,41.63,0.0,0,ON
357,41.6,0.0,0,ON
358,41.6,0.0,0,ON
359,41.57,0.0,0,ON
360,41.76,0.0,0,ON
361,41.68,0.0,0,ON
362,41.52,0.0,0,ON
363,41.6,0.0,0,ON
364,41.79,0.0,0,ON
365,41.6,0.0,0,ON
366,41.65,0.0,0,ON
367,41.6,0.0,0,ON
368,41.63,0.0,0,ON
369,41.85,0.0,0,ON
370,41.76,0.0,0,ON
371,41.46,0.0,0,ON
372,41.57,0.0,0,ON
373,41.63,0.0,0,ON
374,41.6,0.0,0,ON
375,41.63,0.0,0,ON
376,41.63,0.0,0,ON
377,41.74,0.0,0,ON
378,41.6,0.0,0,ON
379,41.6,0.0,0,ON
380,41.63,0.0,0,ON
381,41.6,0.0,0,ON
382,41.6,0.0,0,ON
383,41.6,0.0,0,ON
384,41.6,0.0,0,ON
385,41.63,0.0,0,ON
386,41.65,0.0,0,ON
387,41.63,0.0,0,ON
388,41.63,0.0,0,ON
389,41.79,0.0,0,ON
390,41.85,0.0,0,ON
391,41.71,0.0,0,ON
392,41.63,0.0,0,ON
393,41.68,0.0,0,ON
394,41.85,0.0,0,ON
395,41.85,0.0,0,ON
396,41.74,0.0,0,ON
397,41.76,0.0,0,ON
398,41.68,0.0,0,ON
399,41.54,0.0,0,ON
400,41.74,0.0,0,ON
401,41.6,0.0,0,ON
402,41.63,0.0,0,ON
403,39.89,0.0,0,ON
404,39.86,0.0,0,ON
405,39.73,0.0,0,ON
406,39.73,0.0,0,ON
407,39.81,0.0,0,ON
408,39.49,0.0,0,ON
409,39.51,0.0,0,ON
410,39.62,0.0,0,ON
411,39.43,0.0,0,ON
412,39.36,0.0,0,ON
413,39.41,0.0,0,ON
414,39.46,0.0,0,ON
415,39.46,0.0,0,ON
416,39.57,0.0,0,ON
