temp_C,vazao_L_min,cooler_pct,resistencia
56.33,0.00,0,ON
56.33,0.00,0,ON
56.25,0.00,0,ON
56.33,0.00,0,ON
56.45,0.00,0,ON
56.45,0.00,0,ON
56.45,0.00,0,ON
56.45,0.00,0,ON
56.49,0.00,0,ON
56.57,0.00,0,ON
56.57,0.00,0,ON
56.53,0.00,0,ON
56.25,0.00,0,ON
56.18,0.00,0,ON
56.10,0.00,0,ON
56.10,0.00,0,ON
56.14,0.00,0,ON
56.10,0.00,0,ON
56.06,0.00,0,ON
56.10,0.00,0,ON
56.10,0.00,0,ON
56.06,0.00,0,ON
56.06,0.00,0,ON
55.98,0.00,0,ON
56.06,0.00,0,ON
55.98,0.00,0,ON
56.02,0.00,0,ON
56.06,0.00,0,ON
56.02,0.00,0,ON
55.98,0.00,0,ON
56.06,0.00,0,ON
56.06,0.00,0,ON
56.06,0.00,0,ON
56.06,0.00,0,ON
56.06,0.00,0,ON
55.98,0.00,0,ON
55.94,0.00,0,ON
55.94,0.00,0,ON
55.91,0.00,0,ON
55.83,0.00,0,ON
55.94,0.00,0,ON
55.94,0.00,0,ON
56.02,0.00,0,ON
55.98,0.00,0,ON
55.98,0.00,0,ON
56.06,0.00,0,ON
55.94,0.00,0,ON
55.98,0.00,0,ON
55.94,0.00,0,ON
55.87,0.00,0,ON
55.91,0.00,0,ON
55.91,0.00,0,ON
55.71,0.00,0,ON
55.79,0.00,0,ON
55.94,0.00,0,ON
55.98,0.00,0,ON
55.94,0.00,0,ON
55.94,0.00,0,ON
55.98,0.00,0,ON
56.02,0.00,0,ON
55.94,0.00,0,ON
55.98,0.00,0,ON
55.98,0.00,0,ON
55.94,0.00,0,ON
55.87,0.00,0,ON
55.71,0.00,0,ON
55.64,0.00,0,ON
55.79,0.00,0,ON
55.60,0.00,0,ON
55.64,0.00,0,ON
55.64,0.00,0,ON
55.83,0.00,0,ON
55.79,0.00,0,ON
55.79,0.00,0,ON
55.71,0.00,0,ON
55.64,0.00,0,ON
55.79,0.00,0,ON
55.48,0.00,0,ON
55.79,0.00,0,ON
55.67,0.00,0,ON
55.71,0.00,0,ON
55.71,0.00,0,ON
55.52,0.00,0,ON
55.56,0.00,0,ON
55.48,0.00,0,ON
55.56,0.00,0,ON
55.45,0.00,0,ON
55.52,0.00,0,ON
55.56,0.00,0,ON
55.60,0.00,0,ON
55.79,0.00,0,ON
55.67,0.00,0,ON
55.48,0.00,0,ON
55.52,0.00,0,ON
55.52,0.00,0,ON
55.52,0.00,0,ON
55.64,0.00,0,ON
55.83,0.00,0,ON
55.83,0.00,0,ON
55.94,0.00,0,ON
55.83,0.00,0,ON
55.94,0.00,0,ON
55.94,0.00,0,ON
56.06,0.00,0,ON
56.06,0.00,0,ON
56.02,0.00,0,ON
55.83,0.00,0,ON
55.94,0.00,0,ON
